adresse,postnr,kommune,antal,beholder,tur,ml,mu,tl,tu,sum,uid,vejnavn,husnr,appendiks,type,fremsætter,lås,sæk,id,caveat
A.L. Passagen 1,6000,Kolding,1,"240 l. beh, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,A.L. Passagen,1,,240,False,False,False,dee4d938-d3c4-4c64-a023-bccddf3a8016,False
A.L. Passagen 1,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,A.L. Passagen,1,,770,False,False,False,472a2432-2f6f-4dbe-90fa-5d55d17855b4,False
A.L. Passagen 1,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,A.L. Passagen,1,,400,False,False,False,0e0d88bc-ec4e-461e-ab56-effae2ddda98,False
A.L. Passagen 1,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,A.L. Passagen,1,,770,False,False,False,ad10f27b-ae98-4a86-82eb-aeb6d7b5b6cf,False
Agtrup Midtskovvej 108,6091,Bjert,1,"2-delt 370 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Agtrup Midtskovvej,108,,370,False,False,False,0eeaf61b-11f9-4869-a151-97c5a3a43d59,False
Agtrup Midtskovvej 110,6091,Bjert,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Agtrup Midtskovvej,110,,240,True,False,False,facd18fb-e0ff-4bd2-8320-387dc5a28b8a,False
Agtrup Midtskovvej 112,6091,Bjert,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, ulige, mad/rest - LILLEBIL",False,True,False,False,1,1,Agtrup Midtskovvej,112,,240,False,False,False,5e9c20b5-b990-47bb-8c92-337488e24d9e,False
Akseltorv 5,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Akseltorv,5,,660,False,False,False,07d28a49-35c0-4eff-a9f5-456d20f3b1d3,False
Akseltorv 5,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Akseltorv,5,,660,False,False,False,70ff208c-c01b-445a-9283-705473100f1c,False
Akseltorv 5,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Akseltorv,5,,660,False,False,False,6a393913-1823-4d08-acd0-ecd4eddcf2d0,False
Akseltorv 5,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Akseltorv,5,,660,False,False,False,890f5b4b-f763-4ce8-b225-f2305a8c827f,False
Akseltorv 5,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Akseltorv,5,,660,False,False,False,ca44168a-3c49-4438-95cb-6749cc890151,False
Akseltorv 5,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Akseltorv,5,,400,False,False,False,36e15bd3-c1a8-4892-aaed-baa78703487f,False
Akseltorv 5,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,True,True,2,1,Akseltorv,5,,240,False,False,False,44a10815-a09e-4cb9-94c1-00c95c2c6ca5,False
