adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig,uniq_id,street,city,country,street_part,house_number,house_anyting,vejnavn,husnr,appendiks
"Bakketoppen 10 A, 6000, Kolding",55.5246654,9.4618854,Bakketoppen ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,10,True,False,True,mlcwpdjckj,Bakketoppen 10 A, 6000, Kolding,Bakketoppen,10, A,Bakketoppen,10, A
"Bakketoppen 10 A, 6000, Kolding",55.5246654,9.4618854,Bakketoppen ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,10,True,False,True,mlzfitchrc,Bakketoppen 10 A, 6000, Kolding,Bakketoppen,10, A,Bakketoppen,10, A
"Bakketoppen 10 A, 6000, Kolding",55.5246654,9.4618854,Bakketoppen ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,10,True,False,True,mljyucvcua,Bakketoppen 10 A, 6000, Kolding,Bakketoppen,10, A,Bakketoppen,10, A
"Bjerggade 6, 6000, Kolding",55.4862141,9.4647313,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,6,True,False,False,mlirjksvrg,Bjerggade 6, 6000, Kolding,Bjerggade,6,,Bjerggade,6,
"Bjerggade 8, 6000, Kolding",55.48616209999999,9.4646972,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,8,True,False,False,mlclkwbrdf,Bjerggade 8, 6000, Kolding,Bjerggade,8,,Bjerggade,8,
"Bjerggade 10, 6000, Kolding",55.48611959999999,9.464682,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,10,True,False,False,mldmvvftyh,Bjerggade 10, 6000, Kolding,Bjerggade,10,,Bjerggade,10,
"Bjerggade 12, 6000, Kolding",55.4860771,9.4646668,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,240,False,12,True,False,False,mlgctlycxp,Bjerggade 12, 6000, Kolding,Bjerggade,12,,Bjerggade,12,
"Bjerggade 14, 6000, Kolding",55.486037,9.4646214,Bjerggade ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, mandag, lige, mad/rest - LILLEBIL",True,False,370,False,14,True,False,False,mlwkffzoft,Bjerggade 14, 6000, Kolding,Bjerggade,14,,Bjerggade,14,
"Bjerggade 16, 6000, Kolding",55.48599919999999,9.4645458,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,16,True,False,False,mlvqgafoes,Bjerggade 16, 6000, Kolding,Bjerggade,16,,Bjerggade,16,
"Bjerggade 18, 6000, Kolding",55.48593779999999,9.4644928,Bjerggade ,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, mandag, lige, mad/rest - LILLEBIL",False,False,240,False,18,True,False,False,mlourgnfjw,Bjerggade 18, 6000, Kolding,Bjerggade,18,,Bjerggade,18,
