adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig,uniq_id,street,city,country,street_part,house_number,house_anyting,vejnavn,husnr,appendiks
"A.L. Passagen 1, 6000, Kolding",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"240 l. beh, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,1,False,True,True,tlgnizklxi,A.L. Passagen 1, 6000, Kolding,A.L. Passagen,1,,A.L. Passagen,1,
"A.L. Passagen 1, 6000, Kolding",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,1,False,True,True,tlexsxewwo,A.L. Passagen 1, 6000, Kolding,A.L. Passagen,1,,A.L. Passagen,1,
"A.L. Passagen 1, 6000, Kolding",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,1,False,True,True,tlqwfetacz,A.L. Passagen 1, 6000, Kolding,A.L. Passagen,1,,A.L. Passagen,1,
"A.L. Passagen 1, 6000, Kolding",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,1,False,True,True,tlkvrgdygf,A.L. Passagen 1, 6000, Kolding,A.L. Passagen,1,,A.L. Passagen,1,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True,tlluyfhopq,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,5,False,True,True,tlfmvrzpqr,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,5,False,True,True,tlpzctpsap,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True,tlhztyqwlq,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True,tlinszeigo,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True,tlfkrdoumg,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True,tlrnkcmyev,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
