adresse,latitude,longitude,gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,nr,mandag,torsdag,ugentlig,uniq_id,street,city,country,street_part,house_number,house_anyting,vejnavn,husnr,appendiks
"A.L. Passagen 1, 6000, Kolding",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"240 l. beh, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,1,False,True,True,tujsknlivn,A.L. Passagen 1, 6000, Kolding,A.L. Passagen,1,,A.L. Passagen,1,
"A.L. Passagen 1, 6000, Kolding",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,1,False,True,True,tumzywmuml,A.L. Passagen 1, 6000, Kolding,A.L. Passagen,1,,A.L. Passagen,1,
"A.L. Passagen 1, 6000, Kolding",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,1,False,True,True,tuhnaqftdt,A.L. Passagen 1, 6000, Kolding,A.L. Passagen,1,,A.L. Passagen,1,
"A.L. Passagen 1, 6000, Kolding",55.4898332,9.4758924,A.L. Passagen ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,1,False,True,True,tuckcoovau,A.L. Passagen 1, 6000, Kolding,A.L. Passagen,1,,A.L. Passagen,1,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True,tujaaclbpx,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,5,False,True,True,tuqoxdmqwm,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,5,False,True,True,tufdjxjvht,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True,tunisovlth,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True,tuhoevuytc,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True,tunoyaeilr,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Akseltorv 5, 6000, Kolding",55.4907632,9.473909,Akseltorv ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,5,False,True,True,tuzuqrimfd,Akseltorv 5, 6000, Kolding,Akseltorv,5,,Akseltorv,5,
"Bredgade 15, 6000, Kolding",55.4885247,9.472363,Bredgade ,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,15,False,True,True,tuohdvkwli,Bredgade 15, 6000, Kolding,Bredgade,15,,Bredgade,15,
"Bredgade 15, 6000, Kolding",55.4885247,9.472363,Bredgade ,6000,Kolding,1,"140 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,140,False,15,False,True,True,tuvvbttnvn,Bredgade 15, 6000, Kolding,Bredgade,15,,Bredgade,15,
"Brostræde 6, 6000, Kolding",55.4885238,9.4747297,Brostræde ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,370,False,6,False,True,False,tulasdskog,Brostræde 6, 6000, Kolding,Brostræde,6,,Brostræde,6,
"Buen 2, 6000, Kolding",55.4896804,9.4779272,Buen ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,2,False,True,True,tubsckyqyw,Buen 2, 6000, Kolding,Buen,2,,Buen,2,
"Buen 2, 6000, Kolding",55.4896804,9.4779272,Buen ,6000,Kolding,1,"140 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,140,False,2,False,True,True,tubjpknbln,Buen 2, 6000, Kolding,Buen,2,,Buen,2,
"Buen 2, 6000, Kolding",55.4896804,9.4779272,Buen ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,2,False,True,True,tussqdttli,Buen 2, 6000, Kolding,Buen,2,,Buen,2,
"Buen 8, 6000, Kolding",55.4894322,9.4783758,Buen ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,8,False,True,True,tuxvsrpoog,Buen 8, 6000, Kolding,Buen,8,,Buen,8,
"Buen 8, 6000, Kolding",55.4894322,9.4783758,Buen ,6000,Kolding,1,"190 l. beholder, mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,190,False,8,False,True,True,tustlsbwqc,Buen 8, 6000, Kolding,Buen,8,,Buen,8,
"Buen 8, 6000, Kolding",55.4894322,9.4783758,Buen ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,8,False,True,True,turqhyrhkd,Buen 8, 6000, Kolding,Buen,8,,Buen,8,
"Christian 4 Vej 83, 6000, Kolding",55.4695749,9.4887997,Christian ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,240,False,4,False,True,True,tujpzggruv,Christian 4 Vej 83, 6000, Kolding,Christian,4, Vej 83,Christian,4, Vej 83
"Gråbrødregade 11, 6000, Kolding",55.4894572,9.4766331,Gråbrødregade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,11,False,True,True,tuaorgkuou,Gråbrødregade 11, 6000, Kolding,Gråbrødregade,11,,Gråbrødregade,11,
"Gråbrødregade 11, 6000, Kolding",55.4894572,9.4766331,Gråbrødregade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,11,False,True,True,tuzdfvjefb,Gråbrødregade 11, 6000, Kolding,Gråbrødregade,11,,Gråbrødregade,11,
"Gråbrødregade 15, 6000, Kolding",55.48924400000001,9.4765866,Gråbrødregade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,15,False,True,True,tuguzboufv,Gråbrødregade 15, 6000, Kolding,Gråbrødregade,15,,Gråbrødregade,15,
"Gråbrødregade 15, 6000, Kolding",55.48924400000001,9.4765866,Gråbrødregade ,6000,Kolding,1,"140 l beholder, mad - sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,140,False,15,False,True,True,turvmubirn,Gråbrødregade 15, 6000, Kolding,Gråbrødregade,15,,Gråbrødregade,15,
"Helligkorsgade 4, 6000, Kolding",55.4889235,9.4736631,Helligkorsgade ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",True,False,370,False,4,False,True,False,tuawsruxha,Helligkorsgade 4, 6000, Kolding,Helligkorsgade,4,,Helligkorsgade,4,
"Helligkorsgade 8, 6000, Kolding",55.4889078,9.4739061,Helligkorsgade ,6000,Kolding,1,"130 l. sæk, restaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,130,True,8,False,True,False,tuofbkwwgd,Helligkorsgade 8, 6000, Kolding,Helligkorsgade,8,,Helligkorsgade,8,
"Helligkorsgade 8, 6000, Kolding",55.4889078,9.4739061,Helligkorsgade ,6000,Kolding,1,"90 l. sæk, madaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,90,True,8,False,True,False,tuioouijfj,Helligkorsgade 8, 6000, Kolding,Helligkorsgade,8,,Helligkorsgade,8,
"Helligkorsgade 8, 6000, Kolding",55.4889078,9.4739061,Helligkorsgade ,6000,Kolding,1,"130 l. sæk, restaffald erhverv","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,130,True,8,False,True,False,tubbcxaldg,Helligkorsgade 8, 6000, Kolding,Helligkorsgade,8,,Helligkorsgade,8,
"Helligkorsgade 8, 6000, Kolding",55.4889078,9.4739061,Helligkorsgade ,6000,Kolding,1,"130 l. sæk, restaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,130,True,8,False,True,False,turzokpfxv,Helligkorsgade 8, 6000, Kolding,Helligkorsgade,8,,Helligkorsgade,8,
"Helligkorsgade 8, 6000, Kolding",55.4889078,9.4739061,Helligkorsgade ,6000,Kolding,1,"90 l. sæk, madaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,90,True,8,False,True,False,tuhdujxwgg,Helligkorsgade 8, 6000, Kolding,Helligkorsgade,8,,Helligkorsgade,8,
"Helligkorsgade 9, 6000, Kolding",55.48909159999999,9.4737778,Helligkorsgade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",True,False,240,False,9,False,True,False,tubfoaiido,Helligkorsgade 9, 6000, Kolding,Helligkorsgade,9,,Helligkorsgade,9,
"Helligkorsgade 9, 6000, Kolding",55.48909159999999,9.4737778,Helligkorsgade ,6000,Kolding,1,"130 l. sæk, resta - sf erhverv","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,130,True,9,False,True,False,tuvkmifduw,Helligkorsgade 9, 6000, Kolding,Helligkorsgade,9,,Helligkorsgade,9,
"Helligkorsgade 10, 6000, Kolding",55.4889409,9.4740422,Helligkorsgade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False,tuyfcfnayz,Helligkorsgade 10, 6000, Kolding,Helligkorsgade,10,,Helligkorsgade,10,
"Helligkorsgade 10, 6000, Kolding",55.4889409,9.4740422,Helligkorsgade ,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",True,False,240,False,10,False,True,False,tujcwvwzfy,Helligkorsgade 10, 6000, Kolding,Helligkorsgade,10,,Helligkorsgade,10,
"Helligkorsgade 12, 6000, Kolding",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,370,False,12,False,True,True,tudxcflzre,Helligkorsgade 12, 6000, Kolding,Helligkorsgade,12,,Helligkorsgade,12,
"Helligkorsgade 14, 6000, Kolding",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"400 l. con, rest - sætte frem","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,400,False,14,False,True,True,tufsepclfi,Helligkorsgade 14, 6000, Kolding,Helligkorsgade,14,,Helligkorsgade,14,
"Helligkorsgade 14, 6000, Kolding",55.48889149999999,9.4743564,Helligkorsgade ,6000,Kolding,1,"190 l. beholder, mad, sætter f","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",True,False,190,False,14,False,True,True,tuxfywisda,Helligkorsgade 14, 6000, Kolding,Helligkorsgade,14,,Helligkorsgade,14,
"Helligkorsgade 15, 6000, Kolding",55.4891672,9.4744887,Helligkorsgade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,660,False,15,False,True,False,tuztjxxitl,Helligkorsgade 15, 6000, Kolding,Helligkorsgade,15,,Helligkorsgade,15,
"Helligkorsgade 15, 6000, Kolding",55.4891672,9.4744887,Helligkorsgade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,15,False,True,False,tuwcamovlr,Helligkorsgade 15, 6000, Kolding,Helligkorsgade,15,,Helligkorsgade,15,
"Helligkorsgade 16, 6000, Kolding",55.4890299,9.474682,Helligkorsgade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,400,False,16,False,True,False,tuxemzymjs,Helligkorsgade 16, 6000, Kolding,Helligkorsgade,16,,Helligkorsgade,16,
"Helligkorsgade 16, 6000, Kolding",55.4890299,9.474682,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,770,False,16,False,True,False,tuxqdejtuo,Helligkorsgade 16, 6000, Kolding,Helligkorsgade,16,,Helligkorsgade,16,
"Helligkorsgade 17, 6000, Kolding",55.4891531,9.47481,Helligkorsgade ,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,370,False,17,False,True,True,tuzpjnqdfr,Helligkorsgade 17, 6000, Kolding,Helligkorsgade,17,,Helligkorsgade,17,
"Helligkorsgade 20 B, 6000, Kolding",55.4888081,9.4750168,Helligkorsgade ,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,20,False,True,True,tuewjcqdjw,Helligkorsgade 20 B, 6000, Kolding,Helligkorsgade,20, B,Helligkorsgade,20, B
"Helligkorsgade 20 B, 6000, Kolding",55.4888081,9.4750168,Helligkorsgade ,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,20,False,True,True,tukxowmhrs,Helligkorsgade 20 B, 6000, Kolding,Helligkorsgade,20, B,Helligkorsgade,20, B
"Helligkorsgade 22 A, 6000, Kolding",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"770 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,22,False,True,True,tuzlkaicyl,Helligkorsgade 22 A, 6000, Kolding,Helligkorsgade,22, A,Helligkorsgade,22, A
"Helligkorsgade 22 A, 6000, Kolding",55.4890554,9.475088,Helligkorsgade ,6000,Kolding,1,"400 l. con, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,22,False,True,True,tucupjmrzo,Helligkorsgade 22 A, 6000, Kolding,Helligkorsgade,22, A,Helligkorsgade,22, A
